movieId,title,genres
4054,Save the Last Dance (2001),Drama|Romance
4069,"Wedding Planner, The (2001)",Comedy|Romance
4148,Hannibal (2001),Horror|Thriller
4149,Saving Silverman (Evil Woman) (2001),Comedy|Romance
4153,Down to Earth (2001),Comedy|Fantasy|Romance
4161,"Mexican, The (2001)",Action|Comedy
4167,15 Minutes (2001),Thriller
4228,Heartbreakers (2001),Comedy|Crime|Romance
4232,Spy Kids (2001),Action|Adventure|Children|Comedy
4238,Along Came a Spider (2001),Action|Crime|Mystery|Thriller
4239,Blow (2001),Crime|Drama
4246,Bridget Jones's Diary (2001),Comedy|Drama|Romance
4247,Joe Dirt (2001),Adventure|Comedy|Mystery|Romance
4254,Crocodile Dundee in Los Angeles (2001),Comedy|Drama
4270,"Mummy Returns, The (2001)",Action|Adventure|Comedy|Thriller
4299,"Knight's Tale, A (2001)",Action|Comedy|Romance
4306,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance
4340,"Animal, The (2001)",Comedy
4343,Evolution (2001),Comedy|Sci-Fi
4344,Swordfish (2001),Action|Crime|Drama
4366,Atlantis: The Lost Empire (2001),Adventure|Animation|Children|Fantasy
4367,Lara Croft: Tomb Raider (2001),Action|Adventure
4368,Dr. Dolittle 2 (2001),Comedy
4369,"Fast and the Furious, The (2001)",Action|Crime|Thriller
4370,A.I. Artificial Intelligence (2001),Adventure|Drama|Sci-Fi
4386,Cats & Dogs (2001),Children|Comedy
4388,Scary Movie 2 (2001),Comedy
4446,Final Fantasy: The Spirits Within (2001),Adventure|Animation|Fantasy|Sci-Fi
4447,Legally Blonde (2001),Comedy|Romance
4448,"Score, The (2001)",Action|Drama
4638,Jurassic Park III (2001),Action|Adventure|Sci-Fi|Thriller
4639,America's Sweethearts (2001),Comedy|Romance
4641,Ghost World (2001),Comedy|Drama
4643,Planet of the Apes (2001),Action|Adventure|Drama|Sci-Fi
4700,"Princess Diaries, The (2001)",Children|Comedy|Romance
4701,Rush Hour 2 (2001),Action|Comedy
4718,American Pie 2 (2001),Comedy
4720,"Others, The (2001)",Drama|Horror|Mystery|Thriller
4728,Rat Race (2001),Comedy
4734,Jay and Silent Bob Strike Back (2001),Adventure|Comedy
4776,Training Day (2001),Crime|Drama|Thriller
4816,Zoolander (2001),Comedy
4823,Serendipity (2001),Comedy|Romance
4865,From Hell (2001),Crime|Horror|Mystery|Thriller
4873,Waking Life (2001),Animation|Drama|Fantasy
4874,K-PAX (2001),Drama|Fantasy|Mystery|Sci-Fi
4876,Thirteen Ghosts (a.k.a. Thir13en Ghosts) (2001),Horror|Thriller
4878,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller
4881,"Man Who Wasn't There, The (2001)",Crime|Drama
4886,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy
4887,"One, The (2001)",Action|Sci-Fi|Thriller
4890,Shallow Hal (2001),Comedy|Fantasy|Romance
4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy
4901,Spy Game (2001),Action|Crime|Drama|Thriller
4903,In the Bedroom (2001),Drama
4963,Ocean's Eleven (2001),Crime|Thriller
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
4974,Not Another Teen Movie (2001),Comedy
4975,Vanilla Sky (2001),Mystery|Romance|Sci-Fi|Thriller
4979,"Royal Tenenbaums, The (2001)",Comedy|Drama
4992,Kate & Leopold (2001),Comedy|Romance
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
4994,"Majestic, The (2001)",Comedy|Drama|Romance
4995,"Beautiful Mind, A (2001)",Drama|Romance
5013,Gosford Park (2001),Comedy|Drama|Mystery
5014,I Am Sam (2001),Drama
5015,Monster's Ball (2001),Drama|Romance
5025,Orange County (2002),Comedy
5026,"Brotherhood of the Wolf (Pacte des loups, Le) (2001)",Action|Mystery|Thriller
5064,The Count of Monte Cristo (2002),Action|Adventure|Drama|Thriller
5065,"Mothman Prophecies, The (2002)",Drama|Fantasy|Horror|Mystery|Thriller
5066,"Walk to Remember, A (2002)",Drama|Romance
5072,Metropolis (2001),Animation|Sci-Fi
5108,John Q (2002),Crime|Drama|Thriller
5110,Super Troopers (2001),Comedy|Crime|Mystery
5128,Queen of the Damned (2002),Fantasy|Horror
5135,Monsoon Wedding (2001),Comedy|Romance
5171,"Time Machine, The (2002)",Action|Adventure|Sci-Fi
5218,Ice Age (2002),Adventure|Animation|Children|Comedy
5219,Resident Evil (2002),Action|Horror|Sci-Fi|Thriller
5220,Showtime (2002),Action|Comedy
5254,Blade II (2002),Action|Horror|Thriller
5265,Death to Smoochy (2002),Comedy|Crime|Drama
